net,length_um
_00012_,144.78µm
net855,144.57µm
net745,144.56µm
net510,144.405µm
_03240_,144.38µm
clknet_leaf_15_clk,143.88µm
_03087_,143.7µm
net524,143.7µm
net971,143.46µm
mem_rdata_q\[29\],143.385µm
net781,143.04µm
net495,142.44µm
net790,142.32µm
net575,142.22µm
_01826_,142.2µm
_02955_,142.01µm
net3,141.69µm
decoded_imm_j\[11\],141.62µm
net945,141.36µm
_01946_,141.12µm
_04728_,140.96µm
clknet_leaf_24_clk,140.81µm
net6,140.76µm
net872,140.74µm
mem_rdata_q\[26\],140.575µm
_01849_,140.36µm
_04473_,139.96µm
net967,139.23µm
net811,139.19µm
net574,138.54µm
net686,138.03µm
decoded_imm\[17\],138.02µm
_03450_,137.96µm
net552,137.67µm
_02480_,137.34µm
net652,137.3µm
_02491_,137.04µm
_01837_,136.96µm
_01912_,136.9µm
mem_rdata_q\[25\],136.815µm
_03215_,136.74µm
net513,136.72µm
net753,136.51µm
_01696_,136.5µm
count_instr\[32\],136.26µm
_01878_,136.24µm
net615,136.24µm
net27,135.385µm
mem_rdata_q\[20\],135.045µm
net325,134.78µm
clknet_leaf_35_clk,134.59µm
net537,134.5µm
net551,134.445µm
_01736_,134.38µm
_03135_,134.02µm
net592,133.98µm
net819,133.51µm
net821,133.5µm
clknet_leaf_36_clk,133.4µm
clknet_leaf_74_clk,133.14µm
net675,132.78µm
net616,132.61µm
net25,132.58µm
_04571_,132.54µm
clknet_leaf_96_clk,132.47µm
net706,132.12µm
net854,132.05µm
_03322_,132.04µm
count_cycle\[31\],131.68µm
net556,131.32µm
_02514_,131.31µm
instr_rdcycle,131.25µm
net882,131.25µm
clknet_leaf_111_clk,131.22µm
cpu_state\[6\],130.98µm
net541,130.96µm
net501,130.3µm
_01922_,130µm
net886,129.64µm
_02645_,129.56µm
_02634_,129.41µm
_03373_,128.88µm
_02490_,128.83µm
net824,128.8µm
net535,128.76µm
decoded_imm\[26\],128.74µm
decoded_imm\[7\],128.54µm
net794,128.355µm
net820,128.18µm
net949,128.14µm
is_sb_sh_sw,127.7µm
net550,127.24µm
clknet_leaf_146_clk,127.22µm
decoded_imm\[14\],127.16µm
net922,127.04µm
net539,126.64µm
net856,126.53µm
net509,126.41µm
_01777_,125.88µm
net624,125.88µm
net997,125.84µm
net992,125.78µm
net1001,125.78µm
_01812_,125.74µm
mem_rdata_q\[27\],125.385µm
net873,124.87µm
decoded_imm\[16\],124.66µm
net569,124.48µm
net927,124.43µm
is_alu_reg_imm,124.06µm
decoded_imm_j\[15\],123.56µm
net867,123.46µm
_04773_,123.43µm
net506,123.22µm
_02661_,123.06µm
_04803_,123.06µm
clknet_leaf_23_clk,123.06µm
net540,122.86µm
net673,122.53µm
_03113_,122.4µm
_02620_,122.35µm
reg_pc\[2\],122.34µm
clknet_leaf_64_clk,122.335µm
net314,122.25µm
_01788_,122.22µm
_02492_,122.05µm
net859,122.02µm
net493,121.815µm
net293,121.7µm
decoded_imm\[15\],121.645µm
_04903_,121.445µm
net957,121.26µm
net494,120.98µm
is_lb_lh_lw_lbu_lhu,120.82µm
net532,120.27µm
net596,120.24µm
clknet_leaf_72_clk,120.13µm
_01766_,120.04µm
net815,119.545µm
clknet_leaf_138_clk,119.15µm
decoded_imm_j\[1\],119.02µm
net519,118.845µm
net289,118.76µm
net297,118.73µm
net747,118.73µm
net570,118.47µm
net475,118.35µm
_01552_,118.24µm
net783,117.8µm
net849,117.785µm
net573,117.73µm
net237,117.43µm
clknet_leaf_10_clk,117.38µm
_02236_,117.31µm
_04694_,117.22µm
_01823_,117.18µm
_01739_,117.12µm
is_lui_auipc_jal,117.04µm
_04556_,117.02µm
instr_jalr,116.62µm
_01639_,116.55µm
net590,116.42µm
clknet_leaf_45_clk,116.34µm
decoded_imm_j\[19\],116.29µm
_01799_,116.14µm
_02684_,116.02µm
decoded_imm\[9\],115.96µm
net471,115.88µm
net720,115.8µm
net623,115.62µm
net279,115.6µm
clknet_leaf_4_clk,115.54µm
net298,115.34µm
net979,115.27µm
_02116_,115.11µm
mem_rdata_q\[30\],114.935µm
decoded_imm\[10\],114.7µm
net238,114.46µm
decoded_imm_j\[8\],114.345µm
net995,114.215µm
net324,114.04µm
net4,113.72µm
net751,113.69µm
net243,113.55µm
_04382_,113.54µm
_02241_,113.52µm
net130,112.99µm
decoded_imm\[8\],112.98µm
_04794_,112.89µm
net250,112.86µm
clknet_leaf_49_clk,112.78µm
clknet_leaf_51_clk,112.72µm
clknet_leaf_149_clk,112.7µm
net275,112.56µm
net870,112.48µm
net96,111.5µm
clknet_leaf_54_clk,111.45µm
clknet_leaf_53_clk,111.16µm
net232,110.96µm
clknet_leaf_124_clk,110.96µm
reg_pc\[1\],110.58µm
_04204_,110.57µm
net618,110.54µm
net1000,110.51µm
_02982_,110.5µm
net337,110.49µm
decoded_imm\[12\],110.4µm
_01699_,110.36µm
net267,110.2µm
_04233_,110.08µm
clknet_leaf_107_clk,110.06µm
clknet_leaf_98_clk,109.96µm
net951,109.84µm
clknet_leaf_92_clk,109.8µm
_02609_,109.32µm
clknet_leaf_100_clk,109.28µm
net83,109.275µm
net7,109.18µm
_03530_,108.99µm
net553,108.74µm
net328,108.63µm
net474,108.62µm
net862,108.41µm
net308,108.26µm
net271,108.24µm
net499,108.08µm
_02478_,108.06µm
net254,108.03µm
net310,108.02µm
decoded_imm\[25\],107.89µm
clknet_leaf_12_clk,107.84µm
net833,107.73µm
net239,107.6µm
clknet_leaf_68_clk,107.52µm
clknet_leaf_152_clk,107.41µm
_03586_,107.4µm
net586,107.22µm
net533,107.16µm
net721,107.06µm
net853,106.92µm
_01721_,106.82µm
_02503_,106.75µm
_04400_,106.34µm
net322,106.31µm
net326,106.28µm
net401,106.25µm
_04538_,106.14µm
net472,106.05µm
_01868_,106.02µm
clknet_leaf_63_clk,105.78µm
net285,105.56µm
net887,105.34µm
clknet_leaf_3_clk,105.12µm
net106,104.94µm
net622,104.87µm
_02637_,104.86µm
net999,104.8µm
decoded_imm\[4\],104.43µm
net528,104.17µm
net705,104.13µm
net343,104.12µm
net230,104.1µm
decoded_imm_j\[17\],103.78µm
decoded_imm\[13\],103.665µm
net263,103.57µm
_02700_,103.52µm
net318,103.33µm
net488,103.22µm
net759,103.165µm
net1,102.975µm
net323,102.9µm
clknet_leaf_29_clk,102.86µm
net756,102.84µm
net253,102.76µm
_02489_,102.6µm
_01753_,102.46µm
net255,102.44µm
clknet_leaf_105_clk,102.26µm
clknet_leaf_91_clk,102.1µm
net935,102.06µm
instr_rdinstr,101.98µm
net145,101.66µm
_01774_,101.64µm
clknet_leaf_151_clk,101.63µm
net962,101µm
clknet_leaf_65_clk,101µm
decoded_imm\[28\],100.99µm
net978,100.96µm
net330,100.9µm
net265,100.78µm
clknet_leaf_6_clk,100.7µm
net301,100.66µm
net26,100.575µm
net286,100.5µm
net269,100.48µm
net321,100.32µm
clknet_leaf_81_clk,99.98µm
net980,99.885µm
net832,99.61µm
_02556_,99.48µm
decoded_imm\[0\],99.39µm
net876,99.1µm
_02591_,99µm
net470,98.82µm
clknet_leaf_137_clk,98.78µm
_01888_,98.7µm
net884,98.635µm
clknet_leaf_83_clk,98.6µm
clknet_leaf_148_clk,98.56µm
net985,98.295µm
_02505_,97.82µm
clknet_leaf_86_clk,97.72µm
clknet_leaf_87_clk,97.66µm
clknet_leaf_89_clk,97.6µm
_04826_,97.22µm
net287,97.2µm
_04205_,97.16µm
net703,96.78µm
net536,96.72µm
net916,96.57µm
net534,96.5µm
clknet_leaf_60_clk,96.48µm
net812,96.26µm
clknet_leaf_1_clk,96.1µm
net311,96.08µm
net852,95.96µm
clknet_leaf_56_clk,95.9µm
_02504_,95.76µm
clknet_leaf_20_clk,95.72µm
net786,95.59µm
net625,95.525µm
net511,95.26µm
net484,95.24µm
net261,95.18µm
_01900_,94.94µm
_03719_,94.51µm
_04505_,94.46µm
clknet_leaf_134_clk,94.41µm
net718,94.28µm
_04487_,94.06µm
net981,93.91µm
net938,93.75µm
net336,93.66µm
clknet_leaf_55_clk,93.66µm
_02584_,93.64µm
_02506_,93.58µm
net712,93.5µm
decoded_imm\[29\],93.49µm
_04755_,93.48µm
net538,93.36µm
net912,93.26µm
net332,93.21µm
clknet_leaf_73_clk,93.06µm
net708,92.9µm
clknet_leaf_44_clk,92.9µm
clknet_leaf_8_clk,92.64µm
clknet_leaf_25_clk,92.64µm
clknet_leaf_26_clk,92.62µm
net956,92.38µm
net877,92.3µm
clknet_leaf_76_clk,92.18µm
clknet_leaf_102_clk,92.16µm
net236,92.1µm
net750,92.07µm
net259,91.6µm
net492,91.38µm
_01717_,91.36µm
net284,91.22µm
net743,91.16µm
net973,91.16µm
clknet_leaf_31_clk,91.12µm
net987,91.03µm
clknet_leaf_131_clk,90.98µm
_03508_,90.96µm
net868,90.81µm
clknet_leaf_34_clk,90.8µm
net283,90.74µm
decoded_imm_j\[3\],90.67µm
_04313_,90.4µm
net23,90.33µm
clknet_leaf_144_clk,90.16µm
clknet_leaf_47_clk,90.1µm
_01973_,89.92µm
is_beq_bne_blt_bge_bltu_bgeu,89.78µm
_01577_,89.74µm
net249,89.34µm
clknet_leaf_32_clk,89.32µm
net698,89.24µm
clknet_leaf_119_clk,89.02µm
net245,88.91µm
net88,88.88µm
clknet_leaf_52_clk,88.78µm
_02604_,88.48µm
net295,88.44µm
reg_pc\[8\],88.43µm
decoded_imm\[27\],88.36µm
net865,88.27µm
net257,88.2µm
net281,88.14µm
net251,87.93µm
reg_pc\[10\],87.75µm
net988,87.6µm
net620,87.54µm
net947,87.5µm
_04436_,87.34µm
_01763_,87.3µm
clknet_leaf_141_clk,87.24µm
net12,87.175µm
_04418_,87.14µm
clknet_leaf_7_clk,87.025µm
clknet_leaf_101_clk,86.72µm
_02612_,86.68µm
net316,86.64µm
clknet_leaf_21_clk,86.59µm
clknet_leaf_69_clk,86.52µm
clknet_leaf_120_clk,86.46µm
_02507_,86.44µm
decoded_imm\[3\],86.35µm
net787,86.31µm
net29,86.215µm
reg_out\[0\],86.08µm
net531,85.98µm
net312,85.96µm
clknet_leaf_104_clk,85.96µm
clknet_leaf_59_clk,85.94µm
clknet_leaf_126_clk,85.92µm
net85,85.9µm
net327,85.88µm
clknet_leaf_84_clk,85.88µm
net490,85.83µm
clknet_leaf_70_clk,85.72µm
net339,85.56µm
decoded_imm_j\[9\],85.55µm
_02488_,85.54µm
net341,85.45µm
net282,85.38µm
_01750_,85.24µm
net982,85.11µm
clknet_leaf_67_clk,85.06µm
_01961_,84.9µm
_01929_,84.72µm
net885,84.45µm
net548,84.35µm
net315,84.27µm
_02508_,84.26µm
clknet_leaf_122_clk,84.22µm
net717,84.085µm
net530,84.08µm
_04331_,83.98µm
net406,83.82µm
clknet_leaf_114_clk,83.67µm
net921,83.61µm
_04872_,83.52µm
net291,83.32µm
net84,83.23µm
net473,83.18µm
clknet_leaf_88_clk,83.13µm
_03477_,83.12µm
net277,83.08µm
_04590_,82.96µm
clknet_leaf_13_clk,82.96µm
_03703_,82.815µm
net329,82.78µm
clknet_leaf_110_clk,82.66µm
clknet_leaf_71_clk,82.58µm
net273,82.44µm
reg_pc\[20\],82.4µm
clknet_leaf_128_clk,82.4µm
clknet_leaf_9_clk,82.36µm
clknet_leaf_127_clk,82.08µm
net984,82.02µm
clknet_leaf_82_clk,82µm
net30,81.98µm
clknet_leaf_85_clk,81.935µm
_01984_,81.9µm
_04754_,81.75µm
net252,80.9µm
net970,80.83µm
net247,80.32µm
is_alu_reg_reg,80.3µm
_01554_,80.06µm
_01844_,79.825µm
net527,79.12µm
clknet_leaf_14_clk,79.07µm
net240,78.86µm
clknet_leaf_17_clk,78.72µm
clknet_leaf_121_clk,78.64µm
alu_out_q\[22\],78.62µm
decoded_imm_j\[14\],78.6µm
_02485_,78.34µm
reg_pc\[4\],78.25µm
_02895_,78.18µm
clknet_leaf_50_clk,78.06µm
net983,77.88µm
clknet_leaf_129_clk,77.8µm
_01598_,77.62µm
_02964_,77.59µm
_04869_,77.54µm
_02487_,77.44µm
mem_wordsize\[2\],77.41µm
_01106_,77.355µm
clknet_leaf_90_clk,76.9µm
clknet_leaf_22_clk,76.86µm
net313,76.85µm
net242,76.66µm
_03425_,76.42µm
net299,76.4µm
decoded_imm_j\[5\],76.39µm
_02567_,76.38µm
_04070_,76.34µm
net822,76.34µm
reg_pc\[7\],76.33µm
clknet_leaf_33_clk,76.3µm
net340,76.22µm
clknet_leaf_75_clk,76.16µm
net713,76.045µm
_04897_,76.025µm
net320,75.91µm
_03948_,75.86µm
clknet_leaf_11_clk,75.82µm
net342,75.68µm
net507,75.46µm
net779,75.41µm
net695,75.385µm
clknet_leaf_94_clk,75.38µm
_02593_,75.24µm
_04252_,75.22µm
clknet_leaf_118_clk,75.1µm
_01958_,74.94µm
net409,74.86µm
mem_rdata_q\[7\],74.59µm
reg_pc\[5\],74.565µm
net614,74.18µm
_01107_,73.86µm
decoded_imm_j\[6\],73.82µm
_01981_,73.34µm
clknet_leaf_145_clk,73.26µm
decoded_imm\[31\],73.2µm
_02831_,72.96µm
_01718_,72.64µm
net87,72.58µm
_03706_,72.5µm
clknet_leaf_2_clk,72.3µm
clknet_leaf_28_clk,72.28µm
net597,72.145µm
net850,72.12µm
net806,72.1µm
net554,71.74µm
latched_rd\[2\],71.725µm
net549,71.68µm
net335,71.62µm
_03721_,71.48µm
_04741_,71.41µm
_02115_,71.3µm
_04676_,71.22µm
_04825_,71.2µm
net851,71.175µm
_03708_,71.1µm
decoded_imm_j\[18\],71.1µm
_02746_,70.9µm
_02734_,70.88µm
_03720_,70.43µm
latched_rd\[4\],70.42µm
net302,70.36µm
decoded_imm_j\[4\],70.255µm
_02486_,70.16µm
clknet_leaf_109_clk,70.02µm
net697,69.98µm
decoded_imm\[1\],69.96µm
_01740_,69.94µm
reg_pc\[24\],69.72µm
clknet_leaf_40_clk,69.44µm
_01992_,69.39µm
net270,69.3µm
decoded_imm_j\[20\],69.26µm
_03073_,69.12µm
clknet_leaf_58_clk,69.06µm
clknet_leaf_93_clk,69.04µm
_04767_,69.015µm
_02536_,69µm
