net,length_um
_02055_,23.94µm
cpuregs\[17\]\[3\],23.94µm
count_instr\[63\],23.92µm
cpuregs\[22\]\[0\],23.92µm
cpuregs\[2\]\[20\],23.89µm
cpuregs\[0\]\[27\],23.88µm
net37,23.88µm
_02871_,23.86µm
_04906_,23.845µm
cpuregs\[21\]\[28\],23.84µm
cpuregs\[9\]\[28\],23.84µm
cpuregs\[1\]\[13\],23.8µm
cpuregs\[23\]\[26\],23.8µm
cpuregs\[8\]\[28\],23.8µm
net512,23.8µm
_03626_,23.78µm
cpuregs\[16\]\[18\],23.78µm
_01942_,23.76µm
net47,23.76µm
cpuregs\[9\]\[16\],23.75µm
_01623_,23.74µm
cpuregs\[30\]\[22\],23.725µm
cpuregs\[10\]\[27\],23.715µm
_02047_,23.64µm
cpuregs\[3\]\[14\],23.64µm
cpuregs\[5\]\[3\],23.64µm
mem_la_addr[14],23.64µm
pcpi_rs2[19],23.64µm
cpuregs\[22\]\[3\],23.625µm
_02257_,23.6µm
_03431_,23.58µm
cpuregs\[16\]\[15\],23.58µm
cpuregs\[20\]\[25\],23.58µm
cpuregs\[31\]\[21\],23.58µm
cpuregs\[2\]\[18\],23.57µm
cpuregs\[30\]\[29\],23.57µm
cpuregs\[17\]\[29\],23.56µm
cpuregs\[23\]\[22\],23.56µm
_02147_,23.54µm
_04432_,23.54µm
cpuregs\[8\]\[25\],23.54µm
cpuregs\[12\]\[1\],23.52µm
net1015,23.51µm
cpuregs\[19\]\[17\],23.5µm
cpuregs\[27\]\[30\],23.48µm
_01979_,23.46µm
_03131_,23.46µm
count_instr\[62\],23.46µm
cpuregs\[22\]\[24\],23.46µm
cpuregs\[3\]\[2\],23.4µm
net78,23.38µm
cpuregs\[24\]\[26\],23.36µm
cpuregs\[20\]\[24\],23.35µm
cpuregs\[4\]\[18\],23.35µm
count_cycle\[40\],23.34µm
cpuregs\[24\]\[14\],23.32µm
cpuregs\[25\]\[2\],23.32µm
net60,23.32µm
net82,23.32µm
_03641_,23.28µm
cpuregs\[6\]\[10\],23.27µm
cpuregs\[31\]\[12\],23.24µm
_01932_,23.22µm
net1276,23.22µm
cpuregs\[2\]\[26\],23.21µm
_04909_,23.205µm
cpuregs\[28\]\[14\],23.2µm
net1105,23.2µm
_01877_,23.18µm
_03617_,23.16µm
cpuregs\[12\]\[5\],23.16µm
cpuregs\[26\]\[22\],23.155µm
mem_la_addr[17],23.14µm
cpuregs\[22\]\[15\],23.11µm
_03132_,23.1µm
cpuregs\[20\]\[1\],23.1µm
_02203_,23.08µm
cpuregs\[31\]\[10\],23.06µm
cpuregs\[7\]\[24\],23.06µm
_04884_,23.025µm
cpuregs\[24\]\[3\],23.02µm
cpuregs\[28\]\[18\],23.02µm
cpuregs\[5\]\[2\],23.02µm
_03552_,22.98µm
cpuregs\[9\]\[1\],22.98µm
count_cycle\[26\],22.94µm
_04290_,22.92µm
cpuregs\[18\]\[20\],22.91µm
_04533_,22.88µm
cpuregs\[19\]\[5\],22.88µm
cpuregs\[4\]\[24\],22.88µm
mem_la_addr[18],22.87µm
cpuregs\[20\]\[7\],22.86µm
_03802_,22.8µm
_04640_,22.8µm
cpuregs\[7\]\[20\],22.8µm
net137,22.8µm
alu_out_q\[17\],22.76µm
cpuregs\[19\]\[11\],22.76µm
cpuregs\[1\]\[30\],22.76µm
mem_la_addr[5],22.76µm
_02069_,22.74µm
_04479_,22.74µm
cpuregs\[3\]\[20\],22.74µm
cpuregs\[8\]\[18\],22.74µm
cpuregs\[18\]\[1\],22.705µm
cpuregs\[13\]\[11\],22.68µm
cpuregs\[10\]\[0\],22.675µm
cpuregs\[19\]\[6\],22.66µm
_02124_,22.64µm
cpuregs\[25\]\[5\],22.64µm
count_cycle\[25\],22.6µm
cpuregs\[16\]\[26\],22.58µm
_04291_,22.56µm
cpuregs\[27\]\[24\],22.56µm
mem_addr[26],22.56µm
_04896_,22.545µm
_01560_,22.54µm
_01897_,22.52µm
_04726_,22.52µm
cpuregs\[6\]\[29\],22.51µm
_01804_,22.5µm
_02541_,22.5µm
_03189_,22.5µm
_04534_,22.5µm
cpuregs\[12\]\[30\],22.5µm
cpuregs\[20\]\[12\],22.5µm
_02118_,22.46µm
_04602_,22.46µm
_04771_,22.44µm
alu_out_q\[19\],22.44µm
cpuregs\[22\]\[16\],22.435µm
cpuregs\[14\]\[7\],22.43µm
_02703_,22.42µm
cpuregs\[11\]\[30\],22.42µm
cpuregs\[5\]\[18\],22.42µm
_01792_,22.4µm
cpuregs\[12\]\[29\],22.4µm
instr_sb,22.39µm
_03293_,22.38µm
_03870_,22.38µm
cpuregs\[28\]\[21\],22.38µm
cpuregs\[4\]\[5\],22.38µm
cpuregs\[18\]\[27\],22.37µm
_03910_,22.36µm
_04805_,22.34µm
cpuregs\[18\]\[11\],22.33µm
cpuregs\[13\]\[1\],22.32µm
_04702_,22.3µm
count_cycle\[20\],22.3µm
cpuregs\[12\]\[19\],22.3µm
_02283_,22.28µm
net1392,22.26µm
_03852_,22.24µm
count_cycle\[11\],22.22µm
count_cycle\[35\],22.22µm
cpuregs\[17\]\[1\],22.22µm
cpuregs\[21\]\[1\],22.22µm
cpuregs\[4\]\[10\],22.22µm
cpuregs\[11\]\[27\],22.2µm
cpuregs\[23\]\[25\],22.2µm
net1784,22.2µm
_04760_,22.18µm
cpuregs\[26\]\[11\],22.17µm
cpuregs\[22\]\[17\],22.13µm
_03098_,22.12µm
cpuregs\[24\]\[6\],22.12µm
cpuregs\[6\]\[14\],22.11µm
pcpi_rs1[16],22.1µm
cpuregs\[26\]\[2\],22.095µm
cpuregs\[22\]\[18\],22.085µm
cpuregs\[30\]\[30\],22.085µm
_03473_,22.08µm
cpuregs\[16\]\[24\],22.08µm
cpuregs\[16\]\[27\],22.08µm
cpuregs\[29\]\[27\],22.08µm
cpuregs\[3\]\[13\],22.08µm
cpuregs\[4\]\[6\],22.08µm
cpuregs\[12\]\[6\],22.06µm
net2205,22.06µm
cpuregs\[4\]\[13\],22.04µm
reg_next_pc\[17\],22.04µm
cpuregs\[10\]\[29\],22.005µm
_04371_,22µm
mem_addr[9],21.98µm
cpuregs\[30\]\[23\],21.97µm
_03821_,21.96µm
cpuregs\[15\]\[24\],21.92µm
cpuregs\[9\]\[11\],21.92µm
mem_wdata[1],21.92µm
cpuregs\[20\]\[8\],21.89µm
_04658_,21.88µm
_02185_,21.875µm
cpuregs\[6\]\[27\],21.87µm
cpuregs\[13\]\[4\],21.86µm
cpuregs\[20\]\[13\],21.86µm
cpuregs\[28\]\[22\],21.86µm
cpuregs\[18\]\[30\],21.845µm
_04764_,21.84µm
cpuregs\[12\]\[0\],21.84µm
cpuregs\[5\]\[19\],21.84µm
_02828_,21.83µm
cpuregs\[10\]\[14\],21.83µm
_04681_,21.82µm
cpuregs\[6\]\[18\],21.81µm
_03447_,21.8µm
cpuregs\[1\]\[6\],21.8µm
cpuregs\[3\]\[28\],21.8µm
_04584_,21.78µm
_04306_,21.74µm
_03031_,21.71µm
cpuregs\[18\]\[16\],21.71µm
_04330_,21.7µm
_04607_,21.7µm
alu_out_q\[26\],21.7µm
cpuregs\[13\]\[8\],21.68µm
cpuregs\[5\]\[4\],21.68µm
_02845_,21.66µm
_03238_,21.66µm
_04663_,21.66µm
cpuregs\[31\]\[5\],21.66µm
_02122_,21.65µm
_04274_,21.62µm
count_instr\[34\],21.62µm
cpuregs\[11\]\[7\],21.62µm
cpuregs\[13\]\[24\],21.62µm
cpuregs\[8\]\[22\],21.62µm
cpuregs\[25\]\[6\],21.58µm
_01748_,21.54µm
cpuregs\[16\]\[25\],21.54µm
cpuregs\[23\]\[3\],21.54µm
_02168_,21.52µm
_02399_,21.51µm
count_cycle\[47\],21.5µm
cpuregs\[31\]\[30\],21.5µm
cpuregs\[11\]\[28\],21.46µm
cpuregs\[13\]\[17\],21.46µm
_04883_,21.445µm
cpuregs\[23\]\[4\],21.44µm
count_cycle\[39\],21.42µm
cpuregs\[7\]\[4\],21.42µm
cpuregs\[9\]\[26\],21.42µm
cpuregs\[14\]\[15\],21.415µm
_02095_,21.4µm
cpuregs\[29\]\[9\],21.38µm
mem_addr[5],21.38µm
_01673_,21.36µm
cpuregs\[28\]\[23\],21.36µm
net1250,21.36µm
_02167_,21.34µm
cpuregs\[6\]\[26\],21.33µm
_03887_,21.32µm
cpuregs\[12\]\[26\],21.32µm
cpuregs\[23\]\[18\],21.315µm
_01578_,21.3µm
_04309_,21.3µm
cpuregs\[25\]\[0\],21.3µm
cpuregs\[8\]\[3\],21.3µm
cpuregs\[0\]\[15\],21.26µm
cpuregs\[20\]\[30\],21.26µm
mem_la_addr[9],21.26µm
_02814_,21.24µm
cpuregs\[19\]\[26\],21.2µm
cpuregs\[1\]\[0\],21.2µm
_02212_,21.18µm
net42,21.18µm
_02638_,21.16µm
cpuregs\[1\]\[2\],21.16µm
cpuregs\[8\]\[27\],21.14µm
cpuregs\[2\]\[1\],21.125µm
_04269_,21.12µm
cpuregs\[3\]\[10\],21.12µm
cpuregs\[8\]\[12\],21.12µm
count_cycle\[33\],21.1µm
_03505_,21.08µm
cpuregs\[22\]\[10\],21.075µm
count_instr\[24\],21.07µm
cpuregs\[16\]\[19\],21.06µm
cpuregs\[0\]\[11\],21.04µm
cpuregs\[19\]\[16\],21.04µm
cpuregs\[16\]\[22\],21.02µm
_04737_,21µm
cpuregs\[17\]\[17\],21µm
cpuregs\[4\]\[19\],21µm
_02137_,20.98µm
_04425_,20.98µm
cpuregs\[7\]\[15\],20.98µm
cpuregs\[10\]\[17\],20.975µm
cpuregs\[19\]\[4\],20.96µm
cpuregs\[29\]\[0\],20.96µm
cpuregs\[10\]\[21\],20.95µm
cpuregs\[14\]\[5\],20.95µm
_04377_,20.94µm
cpuregs\[24\]\[25\],20.94µm
cpuregs\[6\]\[8\],20.93µm
_03003_,20.92µm
_04014_,20.92µm
net1779,20.92µm
cpuregs\[22\]\[23\],20.915µm
_02574_,20.9µm
_03949_,20.9µm
count_instr\[53\],20.9µm
cpuregs\[23\]\[23\],20.9µm
cpuregs\[14\]\[18\],20.895µm
cpuregs\[29\]\[13\],20.87µm
cpuregs\[27\]\[5\],20.86µm
cpuregs\[31\]\[2\],20.86µm
_03263_,20.85µm
cpuregs\[14\]\[3\],20.85µm
count_cycle\[58\],20.84µm
cpuregs\[11\]\[1\],20.84µm
_02094_,20.83µm
cpuregs\[14\]\[12\],20.83µm
_04275_,20.82µm
cpuregs\[2\]\[3\],20.81µm
cpuregs\[0\]\[8\],20.8µm
cpuregs\[11\]\[16\],20.8µm
cpuregs\[17\]\[15\],20.8µm
cpuregs\[23\]\[10\],20.8µm
_02229_,20.78µm
_03285_,20.78µm
_04279_,20.78µm
_04651_,20.78µm
cpuregs\[13\]\[2\],20.78µm
net2073,20.78µm
cpuregs\[6\]\[3\],20.765µm
_02941_,20.74µm
cpuregs\[24\]\[2\],20.74µm
_02924_,20.72µm
_01941_,20.7µm
_02119_,20.7µm
cpuregs\[24\]\[23\],20.7µm
cpuregs\[7\]\[0\],20.7µm
cpuregs\[7\]\[5\],20.7µm
cpuregs\[30\]\[24\],20.69µm
_04288_,20.68µm
cpuregs\[28\]\[7\],20.66µm
_01858_,20.64µm
cpuregs\[30\]\[13\],20.635µm
_04784_,20.62µm
_01765_,20.61µm
cpuregs\[28\]\[30\],20.61µm
count_cycle\[50\],20.58µm
cpuregs\[23\]\[21\],20.56µm
_02949_,20.54µm
cpuregs\[24\]\[27\],20.54µm
cpuregs\[8\]\[0\],20.54µm
decoder_trigger,20.54µm
reg_sh\[0\],20.54µm
_02039_,20.52µm
_02789_,20.5µm
cpuregs\[12\]\[7\],20.48µm
_02826_,20.44µm
_04201_,20.44µm
net50,20.44µm
_03988_,20.42µm
cpuregs\[30\]\[3\],20.41µm
_04109_,20.4µm
cpuregs\[18\]\[17\],20.39µm
_03551_,20.38µm
_03559_,20.38µm
cpuregs\[18\]\[10\],20.38µm
_02015_,20.36µm
_04873_,20.36µm
cpuregs\[26\]\[9\],20.355µm
_02599_,20.35µm
_02843_,20.34µm
_03059_,20.34µm
cpuregs\[15\]\[25\],20.34µm
cpuregs\[28\]\[24\],20.34µm
cpuregs\[10\]\[5\],20.33µm
_02786_,20.32µm
_04182_,20.32µm
_04795_,20.32µm
cpuregs\[21\]\[4\],20.32µm
mem_state\[1\],20.32µm
count_instr\[3\],20.3µm
cpuregs\[8\]\[19\],20.3µm
_04887_,20.285µm
cpuregs\[10\]\[6\],20.27µm
cpuregs\[27\]\[2\],20.26µm
cpuregs\[22\]\[6\],20.255µm
_01561_,20.24µm
cpuregs\[22\]\[4\],20.235µm
_04244_,20.22µm
_02564_,20.2µm
_03363_,20.2µm
mem_do_rdata,20.2µm
_03346_,20.18µm
net1827,20.18µm
_02029_,20.16µm
_02184_,20.12µm
_02889_,20.12µm
cpuregs\[0\]\[9\],20.12µm
cpuregs\[1\]\[19\],20.12µm
cpuregs\[21\]\[9\],20.12µm
_03834_,20.1µm
cpuregs\[1\]\[28\],20.1µm
cpuregs\[21\]\[22\],20.1µm
cpuregs\[4\]\[16\],20.1µm
net38,20.1µm
cpuregs\[14\]\[4\],20.095µm
cpuregs\[0\]\[23\],20.08µm
cpuregs\[18\]\[2\],20.08µm
cpuregs\[21\]\[27\],20.08µm
net135,20.08µm
_01118_,20.075µm
_04706_,20.07µm
cpuregs\[26\]\[5\],20.07µm
_04375_,20.06µm
count_instr\[21\],20.04µm
cpuregs\[1\]\[31\],20.04µm
cpuregs\[25\]\[16\],20µm
cpuregs\[3\]\[30\],20µm
cpuregs\[10\]\[31\],19.97µm
cpuregs\[3\]\[22\],19.96µm
pcpi_rs2[3],19.96µm
cpuregs\[22\]\[5\],19.955µm
_01759_,19.94µm
_04285_,19.94µm
cpuregs\[7\]\[29\],19.94µm
cpuregs\[2\]\[0\],19.93µm
cpuregs\[6\]\[0\],19.93µm
_03260_,19.92µm
_03406_,19.92µm
count_instr\[40\],19.92µm
cpuregs\[22\]\[8\],19.91µm
_02416_,19.9µm
_02542_,19.9µm
cpuregs\[26\]\[7\],19.89µm
mem_addr[18],19.87µm
cpuregs\[27\]\[28\],19.86µm
cpuregs\[1\]\[22\],19.84µm
mem_addr[13],19.83µm
_02372_,19.82µm
_02876_,19.82µm
_02881_,19.82µm
cpuregs\[16\]\[3\],19.82µm
cpuregs\[2\]\[24\],19.81µm
_04486_,19.8µm
cpuregs\[29\]\[23\],19.8µm
net1149,19.8µm
cpuregs\[18\]\[26\],19.795µm
_02099_,19.78µm
_04282_,19.78µm
_04568_,19.77µm
cpuregs\[6\]\[28\],19.77µm
cpuregs\[13\]\[6\],19.76µm
cpuregs\[25\]\[25\],19.76µm
cpuregs\[7\]\[28\],19.76µm
mem_addr[7],19.76µm
cpuregs\[17\]\[13\],19.74µm
net151,19.74µm
_03208_,19.72µm
_03372_,19.72µm
_01807_,19.71µm
cpuregs\[12\]\[12\],19.7µm
cpuregs\[19\]\[27\],19.7µm
cpuregs\[5\]\[28\],19.7µm
_03533_,19.695µm
cpuregs\[17\]\[31\],19.695µm
cpuregs\[16\]\[20\],19.68µm
cpuregs\[18\]\[0\],19.68µm
cpuregs\[5\]\[22\],19.68µm
_03209_,19.66µm
cpuregs\[2\]\[23\],19.655µm
cpuregs\[2\]\[8\],19.65µm
_04406_,19.64µm
cpuregs\[17\]\[2\],19.64µm
cpuregs\[27\]\[29\],19.64µm
cpuregs\[10\]\[22\],19.635µm
cpuregs\[24\]\[19\],19.62µm
cpuregs\[13\]\[19\],19.6µm
cpuregs\[0\]\[2\],19.58µm
cpuregs\[6\]\[9\],19.57µm
_01095_,19.56µm
_02308_,19.56µm
_02402_,19.56µm
cpuregs\[1\]\[27\],19.54µm
cpuregs\[20\]\[0\],19.54µm
cpuregs\[3\]\[4\],19.54µm
cpuregs\[5\]\[13\],19.54µm
cpuregs\[23\]\[29\],19.53µm
cpuregs\[2\]\[6\],19.53µm
cpuregs\[10\]\[24\],19.51µm
cpuregs\[17\]\[12\],19.5µm
cpuregs\[24\]\[8\],19.5µm
mem_rdata_q\[17\],19.5µm
_02902_,19.48µm
cpuregs\[9\]\[19\],19.48µm
cpuregs\[6\]\[5\],19.475µm
_03884_,19.46µm
_04564_,19.44µm
cpuregs\[29\]\[17\],19.42µm
mem_la_addr[10],19.42µm
_01714_,19.4µm
_01825_,19.4µm
_04716_,19.4µm
pcpi_rs1[9],19.4µm
net1056,19.39µm
_02070_,19.38µm
cpuregs\[13\]\[23\],19.38µm
mem_wdata[2],19.38µm
cpuregs\[14\]\[6\],19.37µm
net95,19.36µm
_04271_,19.35µm
cpuregs\[15\]\[28\],19.32µm
cpuregs\[19\]\[14\],19.32µm
_02696_,19.3µm
_02905_,19.3µm
cpuregs\[21\]\[18\],19.28µm
cpuregs\[8\]\[23\],19.28µm
_03748_,19.26µm
_04720_,19.24µm
_04667_,19.235µm
cpuregs\[0\]\[3\],19.22µm
cpuregs\[29\]\[28\],19.22µm
cpuregs\[4\]\[0\],19.2µm
cpuregs\[8\]\[14\],19.2µm
cpuregs\[8\]\[7\],19.2µm
net1863,19.2µm
_02627_,19.18µm
_02049_,19.16µm
cpuregs\[3\]\[11\],19.16µm
net2167,19.14µm
cpuregs\[15\]\[3\],19.12µm
cpuregs\[3\]\[17\],19.12µm
cpuregs\[8\]\[31\],19.12µm
_02737_,19.1µm
_04669_,19.1µm
cpuregs\[20\]\[29\],19.1µm
cpuregs\[3\]\[21\],19.08µm
cpuregs\[26\]\[27\],19.07µm
_01088_,19.065µm
cpuregs\[21\]\[12\],19.06µm
cpuregs\[6\]\[31\],19.06µm
mem_la_addr[4],19.06µm
net1600,19.06µm
cpuregs\[29\]\[5\],19.04µm
_02105_,19.035µm
cpuregs\[31\]\[6\],19.02µm
mem_wdata[23],19.01µm
_03013_,19µm
count_instr\[44\],19µm
cpuregs\[12\]\[16\],18.98µm
cpuregs\[4\]\[12\],18.98µm
net43,18.98µm
cpuregs\[15\]\[16\],18.96µm
cpuregs\[24\]\[10\],18.96µm
cpuregs\[29\]\[14\],18.96µm
_01786_,18.94µm
_03509_,18.94µm
mem_rdata_q\[3\],18.94µm
_04717_,18.93µm
_03579_,18.9µm
cpuregs\[16\]\[28\],18.9µm
cpuregs\[23\]\[11\],18.9µm
cpuregs\[24\]\[12\],18.9µm
cpuregs\[3\]\[19\],18.9µm
net57,18.9µm
cpuregs\[24\]\[20\],18.88µm
cpuregs\[7\]\[7\],18.88µm
cpuregs\[22\]\[26\],18.875µm
cpuregs\[14\]\[23\],18.87µm
_04530_,18.86µm
cpuregs\[12\]\[23\],18.86µm
cpuregs\[1\]\[17\],18.86µm
cpuregs\[5\]\[15\],18.85µm
cpuregs\[30\]\[19\],18.83µm
_04506_,18.82µm
_04685_,18.82µm
cpuregs\[14\]\[11\],18.82µm
cpuregs\[25\]\[26\],18.82µm
cpuregs\[31\]\[13\],18.82µm
reg_next_pc\[3\],18.82µm
_01580_,18.78µm
_04763_,18.78µm
cpuregs\[3\]\[26\],18.78µm
cpuregs\[9\]\[21\],18.78µm
reg_next_pc\[29\],18.78µm
cpuregs\[22\]\[22\],18.77µm
cpuregs\[28\]\[0\],18.76µm
cpuregs\[19\]\[29\],18.74µm
cpuregs\[25\]\[15\],18.74µm
cpuregs\[3\]\[18\],18.74µm
cpuregs\[3\]\[31\],18.74µm
net146,18.74µm
cpuregs\[12\]\[18\],18.72µm
latched_store,18.72µm
cpuregs\[2\]\[25\],18.715µm
_02880_,18.7µm
_03318_,18.7µm
cpuregs\[7\]\[3\],18.7µm
_02901_,18.68µm
_04691_,18.68µm
_01738_,18.67µm
cpuregs\[30\]\[27\],18.655µm
_02930_,18.64µm
cpuregs\[18\]\[5\],18.635µm
cpuregs\[24\]\[21\],18.62µm
cpuregs\[3\]\[0\],18.62µm
cpuregs\[6\]\[6\],18.615µm
cpuregs\[2\]\[17\],18.61µm
_03423_,18.605µm
_01821_,18.6µm
_03529_,18.6µm
_03781_,18.6µm
cpuregs\[11\]\[22\],18.6µm
cpuregs\[29\]\[31\],18.6µm
_02373_,18.58µm
_03862_,18.58µm
cpuregs\[11\]\[25\],18.58µm
cpuregs\[3\]\[16\],18.58µm
_04374_,18.565µm
_01853_,18.56µm
reg_next_pc\[4\],18.56µm
cpuregs\[23\]\[6\],18.54µm
cpuregs\[8\]\[13\],18.54µm
cpuregs\[27\]\[1\],18.52µm
mem_addr[3],18.52µm
net1368,18.52µm
cpuregs\[30\]\[31\],18.515µm
cpuregs\[22\]\[7\],18.51µm
_01749_,18.5µm
count_cycle\[29\],18.5µm
cpuregs\[0\]\[20\],18.5µm
cpuregs\[13\]\[7\],18.5µm
cpuregs\[20\]\[22\],18.5µm
mem_addr[14],18.5µm
_01956_,18.48µm
_03592_,18.48µm
cpuregs\[27\]\[15\],18.48µm
cpuregs\[7\]\[26\],18.48µm
net2169,18.48µm
_04500_,18.46µm
cpuregs\[26\]\[30\],18.45µm
cpuregs\[2\]\[14\],18.45µm
cpuregs\[20\]\[4\],18.44µm
cpuregs\[23\]\[12\],18.44µm
cpuregs\[28\]\[6\],18.44µm
cpuregs\[30\]\[15\],18.42µm
cpuregs\[14\]\[28\],18.41µm
cpuregs\[22\]\[29\],18.41µm
cpuregs\[2\]\[28\],18.41µm
_02799_,18.4µm
cpuregs\[15\]\[26\],18.4µm
_02817_,18.38µm
cpuregs\[25\]\[14\],18.38µm
cpuregs\[13\]\[18\],18.36µm
cpuregs\[26\]\[21\],18.335µm
cpuregs\[27\]\[18\],18.32µm
cpuregs\[27\]\[3\],18.32µm
_00504_,18.305µm
cpuregs\[30\]\[0\],18.295µm
count_instr\[50\],18.28µm
count_instr\[59\],18.28µm
cpuregs\[15\]\[18\],18.28µm
cpuregs\[19\]\[15\],18.28µm
net1577,18.28µm
cpuregs\[11\]\[17\],18.27µm
_01850_,18.26µm
cpuregs\[19\]\[10\],18.26µm
cpuregs\[19\]\[25\],18.26µm
net1080,18.26µm
mem_state\[0\],18.255µm
_04240_,18.24µm
cpuregs\[21\]\[17\],18.24µm
cpuregs\[28\]\[28\],18.24µm
net51,18.24µm
_00114_,18.215µm
cpuregs\[16\]\[31\],18.21µm
count_cycle\[48\],18.2µm
cpuregs\[15\]\[27\],18.2µm
cpuregs\[28\]\[13\],18.2µm
cpuregs\[18\]\[4\],18.19µm
cpuregs\[26\]\[24\],18.19µm
cpuregs\[2\]\[21\],18.19µm
cpuregs\[24\]\[30\],18.18µm
_03957_,18.16µm
cpuregs\[29\]\[10\],18.16µm
_03692_,18.14µm
cpuregs\[26\]\[0\],18.135µm
cpuregs\[22\]\[21\],18.12µm
cpuregs\[2\]\[2\],18.12µm
_04910_,18.105µm
cpuregs\[26\]\[10\],18.09µm
cpuregs\[19\]\[0\],18.08µm
cpuregs\[20\]\[11\],18.08µm
cpuregs\[9\]\[2\],18.08µm
cpuregs\[21\]\[31\],18.06µm
count_cycle\[44\],18.04µm
cpuregs\[0\]\[6\],18.04µm
instr_ori,18.04µm
cpuregs\[26\]\[23\],18.035µm
_02621_,18.02µm
_03199_,18.02µm
_03348_,18.02µm
cpuregs\[4\]\[17\],18.02µm
cpuregs\[6\]\[12\],18.015µm
net92,18µm
cpuregs\[3\]\[27\],17.99µm
_03671_,17.98µm
net1218,17.98µm
_04521_,17.96µm
mem_rdata_q\[6\],17.945µm
cpuregs\[16\]\[16\],17.94µm
cpuregs\[23\]\[30\],17.94µm
cpuregs\[4\]\[22\],17.94µm
cpuregs\[9\]\[6\],17.94µm
_03053_,17.92µm
_04265_,17.92µm
_04551_,17.92µm
_02112_,17.9µm
count_instr\[29\],17.9µm
cpuregs\[15\]\[1\],17.9µm
cpuregs\[7\]\[14\],17.9µm
cpuregs\[14\]\[30\],17.89µm
cpuregs\[9\]\[24\],17.86µm
_01661_,17.84µm
_04104_,17.84µm
cpuregs\[4\]\[21\],17.84µm
cpuregs\[15\]\[17\],17.82µm
net48,17.82µm
mem_la_wdata[28],17.81µm
_04150_,17.8µm
cpuregs\[16\]\[4\],17.8µm
net1962,17.8µm
cpuregs\[25\]\[24\],17.78µm
cpuregs\[2\]\[11\],17.78µm
_03651_,17.76µm
_03430_,17.75µm
cpuregs\[26\]\[1\],17.75µm
cpuregs\[6\]\[4\],17.745µm
_02103_,17.74µm
_02566_,17.72µm
_03544_,17.72µm
_04770_,17.72µm
cpuregs\[4\]\[4\],17.72µm
cpuregs\[2\]\[4\],17.71µm
cpuregs\[15\]\[4\],17.7µm
cpuregs\[30\]\[16\],17.69µm
cpuregs\[16\]\[0\],17.68µm
cpuregs\[14\]\[17\],17.675µm
_03847_,17.66µm
_04756_,17.66µm
cpuregs\[11\]\[6\],17.66µm
net46,17.66µm
count_cycle\[6\],17.65µm
_01104_,17.645µm
_04854_,17.62µm
cpuregs\[22\]\[19\],17.615µm
_02194_,17.6µm
_03126_,17.6µm
_03294_,17.58µm
_03140_,17.56µm
cpuregs\[10\]\[12\],17.555µm
cpuregs\[2\]\[30\],17.555µm
_04515_,17.54µm
net1828,17.54µm
_02590_,17.52µm
_04392_,17.52µm
_04509_,17.52µm
cpuregs\[16\]\[29\],17.52µm
cpuregs\[4\]\[30\],17.52µm
cpuregs\[5\]\[24\],17.52µm
_03760_,17.5µm
count_instr\[26\],17.5µm
cpuregs\[3\]\[9\],17.5µm
cpuregs\[10\]\[7\],17.49µm
_02554_,17.48µm
_03472_,17.48µm
cpuregs\[13\]\[10\],17.48µm
cpuregs\[18\]\[31\],17.48µm
cpuregs\[21\]\[7\],17.48µm
cpuregs\[23\]\[5\],17.48µm
_01641_,17.46µm
_03794_,17.46µm
_04502_,17.46µm
cpuregs\[31\]\[0\],17.46µm
_02741_,17.44µm
cpuregs\[11\]\[14\],17.44µm
cpuregs\[1\]\[14\],17.44µm
cpuregs\[4\]\[29\],17.44µm
_01726_,17.42µm
cpuregs\[13\]\[28\],17.41µm
_04772_,17.4µm
count_instr\[20\],17.4µm
_01840_,17.39µm
_03153_,17.38µm
cpuregs\[9\]\[27\],17.38µm
mem_la_addr[12],17.38µm
pcpi_rs1[14],17.37µm
_03407_,17.36µm
cpuregs\[12\]\[15\],17.36µm
cpuregs\[4\]\[25\],17.36µm
cpuregs\[10\]\[28\],17.34µm
cpuregs\[0\]\[1\],17.32µm
cpuregs\[23\]\[2\],17.32µm
cpuregs\[22\]\[25\],17.315µm
_03195_,17.3µm
cpuregs\[1\]\[15\],17.3µm
cpuregs\[2\]\[16\],17.29µm
cpuregs\[25\]\[1\],17.28µm
cpuregs\[26\]\[19\],17.27µm
cpuregs\[2\]\[12\],17.27µm
cpuregs\[6\]\[22\],17.27µm
mem_la_wdata[13],17.25µm
mem_la_wstrb[2],17.25µm
_02089_,17.24µm
_02254_,17.24µm
_04036_,17.24µm
cpuregs\[11\]\[2\],17.24µm
cpuregs\[13\]\[14\],17.24µm
cpuregs\[22\]\[14\],17.24µm
cpuregs\[28\]\[5\],17.24µm
net73,17.24µm
cpuregs\[6\]\[17\],17.235µm
_04712_,17.23µm
cpuregs\[18\]\[21\],17.23µm
cpuregs\[14\]\[14\],17.22µm
cpuregs\[9\]\[20\],17.22µm
reg_next_pc\[16\],17.22µm
cpuregs\[31\]\[11\],17.21µm
_03943_,17.2µm
cpuregs\[24\]\[31\],17.2µm
cpuregs\[26\]\[8\],17.19µm
cpuregs\[13\]\[15\],17.18µm
cpuregs\[26\]\[15\],17.175µm
cpuregs\[15\]\[11\],17.16µm
_04904_,17.145µm
_04129_,17.14µm
cpuregs\[18\]\[28\],17.135µm
mem_la_wdata[6],17.13µm
_03359_,17.12µm
_03304_,17.1µm
_04615_,17.1µm
cpuregs\[11\]\[31\],17.1µm
_02276_,17.08µm
_03803_,17.08µm
