Metric,Value
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,16.164965
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,328
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,156
design__max_fanout_violation__count__corner:max_ss_100C_1v60,140
design__max_cap_violation__count__corner:max_ss_100C_1v60,2
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.7845826432834447
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.7503904376932273
timing__hold__ws__corner:max_ss_100C_1v60,0.8359957407402678
timing__setup__ws__corner:max_ss_100C_1v60,5.850697869559671
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.835996
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,5.850698
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,328
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,140
design__max_cap_violation__count__corner:max_ff_n40C_1v95,1
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.4467668306207068
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.4334651926753256
timing__hold__ws__corner:max_ff_n40C_1v95,0.10549261762730013
timing__setup__ws__corner:max_ff_n40C_1v95,13.77353292627375
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.105493
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,20.498560
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,328
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,328
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79908
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79982
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000921039
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00102958
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000180348
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00102958
design_powergrid__voltage__worst,0.00102958
design_powergrid__voltage__worst__net:VPWR,1.79908
design_powergrid__drop__worst,0.00102958
design_powergrid__drop__worst__net:VPWR,0.000921039
design_powergrid__voltage__worst__net:VGND,0.00102958
design_powergrid__drop__worst__net:VGND,0.00102958
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00018400000000000000014398204850607498883618973195552825927734375
ir__drop__worst,0.000921000000000000052131909900055006801267154514789581298828125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
